"model","metric","n_splits","mean","standard_deviation","median","minimum","maximum"
"PBLUP","predictive_correlation",25,0.42686071932306,0.0638321274253627,0.44010043375814,0.261764593239774,0.52076200966961
"PBLUP","rmse",25,0.909843193079193,0.0416348883889026,0.911332024804459,0.847114960423018,1.01039805393786
"PBLUP","mae",25,0.719513794332177,0.0363493184018264,0.71662732699614,0.653702384474104,0.800590983471474
"GBLUP","predictive_correlation",25,0.491978747879472,0.0733351803315286,0.512249870970937,0.318950573463571,0.596977663060312
"GBLUP","rmse",25,0.873613633489619,0.0417246043929758,0.872752858086349,0.806899833416909,0.961552279927625
"GBLUP","mae",25,0.691785946893312,0.0316680531743483,0.692065574646858,0.63253535341274,0.763124682993695
