"model","n_training","n_testing","predictive_correlation","rmse","mae","genetic_variance","residual_variance","variance_ratio","lambda"
"PBLUP",479,120,0.35646069289006,0.926236176353936,0.729234389948105,0.280563996062946,0.568499069687036,0.330439524907519,2.02627235733943
"GBLUP",479,120,0.579837618457777,0.815037331236739,0.649727913612394,0.274104990113803,0.593220320600299,0.316034810385185,2.16420839457905
