"Metric","Value"
"Total Lines","599"
"Total Markers","1279"
"Phenotype Environments","4"
"Marker Unique Values","0/1"
"Missing Phenotypes (E1)","0"
"Missing Markers","0"
"E1 Phenotype Mean","0"
"E1 Phenotype SD","1"
