"scenario","evaluation_group","model","n_splits","prediction_records","mean_predictive_correlation","sd_predictive_correlation","mean_rmse","sd_rmse","mean_mae","sd_mae"
"Full genotyping","overall","PBLUP",25,2995,0.42686071932306,0.0638321274253627,0.909843193079193,0.0416348883889026,0.719513794332177,0.0363493184018264
"Full genotyping","overall","GBLUP",25,2995,0.491978747879472,0.0733351803315286,0.873613633489619,0.0417246043929758,0.691785946893312,0.0316680531743483
"50% genotyping","overall","PBLUP",25,2995,0.42686071932306,0.0638321274253627,0.909843193079193,0.0416348883889026,0.719513794332177,0.0363493184018264
"50% genotyping","overall","ssGBLUP",25,2995,0.457629333984952,0.0867404635829142,0.893347205365932,0.0460155863024682,0.708613909631162,0.0361512127020991
"50% genotyping","genotyped","PBLUP",25,1500,0.391958055034996,0.0953184694216589,0.913793726739193,0.0769640963563439,0.722057999730741,0.0643920394660507
"50% genotyping","genotyped","ssGBLUP",25,1500,0.435813961927868,0.122333003223919,0.894032798349537,0.0919016797125187,0.710559884084296,0.0708587033753868
"50% genotyping","not_genotyped","PBLUP",25,1495,0.454262889023063,0.0791354845853309,0.90274402740034,0.0608843173161017,0.718033508460454,0.0558950694475723
"50% genotyping","not_genotyped","ssGBLUP",25,1495,0.480273556292707,0.0857451228762819,0.888031250287931,0.0592923753742491,0.706957563019626,0.0536416979834854
